Date,Year,Month,MonthName,Quarter,ClinicName,ProviderName,Specialty,ApptTypeName,ApptCount,CompletedCount,NoShowCount,CancelCount,NoShowRatePct,CancelRatePct,UtilizationPct,AvgWaitDays
2025-02-25,2025,2,February,1,Downtown Specialty Care,Garcia,Cardiology,Annual Physical,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Garcia,Cardiology,Follow-up,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Johnson,Dermatology,Annual Physical,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Johnson,Dermatology,Lab Review,2,1,1,0,50.00,0.00,50.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Johnson,Dermatology,New Patient,2,1,1,0,50.00,0.00,50.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Johnson,Dermatology,Procedure,6,4,2,0,33.33,0.00,66.67,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Nguyen,Internal Med,Follow-up,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Nguyen,Internal Med,Lab Review,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Nguyen,Internal Med,New Patient,1,1,0,0,0.00,0.00,100.00,14.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Nguyen,Internal Med,Procedure,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Patel,Primary Care,Follow-up,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Patel,Primary Care,New Patient,1,1,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Downtown Specialty Care,Patel,Primary Care,Procedure,1,0,1,0,100.00,0.00,0.00,7.00
2025-02-25,2025,2,February,1,Midtown Family Clinic,Garcia,Cardiology,Follow-up,2,2,0,0,0.00,0.00,100.00,7.00
2025-02-25,2025,2,February,1,Midtown Family Clinic,Garcia,Cardiology,Procedure,1,1,0,0,0.00,0.00,100.00,7.00
